GeoFIPS,GeoName,Region,Table,LineCode,IndustryClassification,Description,2014,2015,2016
16000,Idaho,7,SA4,7020,...,  Wage and salary employment,685779,704095,726927
16000,Idaho,7,SA4,7040,...,  Proprietors employment,239933,245152,250489
17000,Illinois,3,SA4,10,...,Personal income (thousands of dollars),628783275,652685245,663338023
17000,Illinois,3,SA4,11,...,  Nonfarm personal income 1/,625185355,652168169,661711375
17000,Illinois,3,SA4,12,...,  Farm income 2/,3597920,517076,1626648
17000,Illinois,3,SA4,20,...,Population (persons) 3/,12867544,12839047,12801539
17000,Illinois,3,SA4,30,...,Per capita personal income (dollars) 4/,48866,50836,51817
17000,Illinois,3,SA4,35,...,  Earnings by place of work,460475996,474668604,484852761
17000,Illinois,3,SA4,36,...,  Less: Contributions for government social insurance 5/,48585073,50150280,51222629
17000,Illinois,3,SA4,37,...,    Employee and self-employed contributions for government social insurance,25192137,26158630,26958201
17000,Illinois,3,SA4,38,...,    Employer contributions for government social insurance,23392936,23991650,24264428
17000,Illinois,3,SA4,42,...,  Plus: Adjustment for residence 6/,-1819617,-2104917,-1991157
17000,Illinois,3,SA4,45,...,  Equals: Net earnings by place of residence,410071306,422413407,431638975
17000,Illinois,3,SA4,46,...,"  Plus: Dividends, interest, and rent 7/",123786287,130381811,131012047
17000,Illinois,3,SA4,47,...,  Plus: Personal current transfer receipts,94925682,99890027,100687001
17000,Illinois,3,SA4,50,...,  Wages and salaries,333331334,350076101,355280351
17000,Illinois,3,SA4,60,...,  Supplements to wages and salaries,76891106,78313730,81394009
17000,Illinois,3,SA4,61,...,    Employer contributions for employee pension and insurance funds 8/,53498170,54322080,57129581
17000,Illinois,3,SA4,62,...,    Employer contributions for government social insurance,23392936,23991650,24264428
17000,Illinois,3,SA4,70,...,  Proprietors' income 9/,50253556,46278773,48178401
17000,Illinois,3,SA4,71,...,    Farm proprietors' income,3131501,-14273,1079582
17000,Illinois,3,SA4,72,...,    Nonfarm proprietors' income,47122055,46293046,47098819
17000,Illinois,3,SA4,7010,...,Total employment,7617864,7752150,7824152
17000,Illinois,3,SA4,7020,...,  Wage and salary employment,6048485,6143223,6178249
17000,Illinois,3,SA4,7040,...,  Proprietors employment,1569379,1608927,1645903
18000,Indiana,3,SA4,10,...,Personal income (thousands of dollars),266902076,276730346,285863662
18000,Indiana,3,SA4,11,...,  Nonfarm personal income 1/,263972031,275592408,283962066
18000,Indiana,3,SA4,12,...,  Farm income 2/,2930045,1137938,1901596
18000,Indiana,3,SA4,20,...,Population (persons) 3/,6595233,6612768,6633053
18000,Indiana,3,SA4,30,...,Per capita personal income (dollars) 4/,40469,41848,43097
18000,Indiana,3,SA4,35,...,  Earnings by place of work,190749520,195872273,204293236
18000,Indiana,3,SA4,36,...,  Less: Contributions for government social insurance 5/,21426973,22409934,22962267
18000,Indiana,3,SA4,37,...,    Employee and self-employed contributions for government social insurance,11391461,11960901,12342814
18000,Indiana,3,SA4,38,...,    Employer contributions for government social insurance,10035512,10449033,10619453
18000,Indiana,3,SA4,42,...,  Plus: Adjustment for residence 6/,4682492,5466880,5219022
18000,Indiana,3,SA4,45,...,  Equals: Net earnings by place of residence,174005039,178929219,186549991
18000,Indiana,3,SA4,46,...,"  Plus: Dividends, interest, and rent 7/",40564884,43017215,43429004
18000,Indiana,3,SA4,47,...,  Plus: Personal current transfer receipts,52332153,54783912,55884667
18000,Indiana,3,SA4,50,...,  Wages and salaries,132309103,138703704,142978048
18000,Indiana,3,SA4,60,...,  Supplements to wages and salaries,33067843,32135097,35152719
18000,Indiana,3,SA4,61,...,    Employer contributions for employee pension and insurance funds 8/,23032331,21686064,24533266
18000,Indiana,3,SA4,62,...,    Employer contributions for government social insurance,10035512,10449033,10619453
18000,Indiana,3,SA4,70,...,  Proprietors' income 9/,25372574,25033472,26162469
18000,Indiana,3,SA4,71,...,    Farm proprietors' income,2484456,764441,1509500
18000,Indiana,3,SA4,72,...,    Nonfarm proprietors' income,22888118,24269031,24652969
18000,Indiana,3,SA4,7010,...,Total employment,3742456,3797529,3858235
18000,Indiana,3,SA4,7020,...,  Wage and salary employment,3055964,3105873,3150848
18000,Indiana,3,SA4,7040,...,  Proprietors employment,686492,691656,707387
19000,Iowa,4,SA4,10,...,Personal income (thousands of dollars),137733646,142825634,144195709
19000,Iowa,4,SA4,11,...,  Nonfarm personal income 1/,131669059,137204081,140841729
19000,Iowa,4,SA4,12,...,  Farm income 2/,6064587,5621553,3353980
19000,Iowa,4,SA4,20,...,Population (persons) 3/,3108030,3121997,3134693
19000,Iowa,4,SA4,30,...,Per capita personal income (dollars) 4/,44315,45748,46000
19000,Iowa,4,SA4,35,...,  Earnings by place of work,99498863,102366541,103413543
19000,Iowa,4,SA4,36,...,  Less: Contributions for government social insurance 5/,11104813,11410995,11956840
19000,Iowa,4,SA4,37,...,    Employee and self-employed contributions for government social insurance,5919573,6139081,6385882
19000,Iowa,4,SA4,38,...,    Employer contributions for government social insurance,5185240,5271914,5570958
19000,Iowa,4,SA4,42,...,  Plus: Adjustment for residence 6/,995182,923440,896770
19000,Iowa,4,SA4,45,...,  Equals: Net earnings by place of residence,89389232,91878986,92353473
19000,Iowa,4,SA4,46,...,"  Plus: Dividends, interest, and rent 7/",24847869,26261571,26636334
19000,Iowa,4,SA4,47,...,  Plus: Personal current transfer receipts,23496545,24685077,25205902
19000,Iowa,4,SA4,50,...,  Wages and salaries,67147663,70070123,71816743
19000,Iowa,4,SA4,60,...,  Supplements to wages and salaries,17095985,17108513,18466747
19000,Iowa,4,SA4,61,...,    Employer contributions for employee pension and insurance funds 8/,11910745,11836599,12895789
19000,Iowa,4,SA4,62,...,    Employer contributions for government social insurance,5185240,5271914,5570958
19000,Iowa,4,SA4,70,...,  Proprietors' income 9/,15255215,15187905,13130053
19000,Iowa,4,SA4,71,...,    Farm proprietors' income,5303671,4971390,2695671
19000,Iowa,4,SA4,72,...,    Nonfarm proprietors' income,9951544,10216515,10434382
19000,Iowa,4,SA4,7010,...,Total employment,2039854,2060353,2076231
19000,Iowa,4,SA4,7020,...,  Wage and salary employment,1608169,1627194,1635851
19000,Iowa,4,SA4,7040,...,  Proprietors employment,431685,433159,440380
20000,Kansas,4,SA4,10,...,Personal income (thousands of dollars),135017710,136598008,137305437
20000,Kansas,4,SA4,11,...,  Nonfarm personal income 1/,131638612,134098551,134707382
20000,Kansas,4,SA4,12,...,  Farm income 2/,3379098,2499457,2598055
20000,Kansas,4,SA4,20,...,Population (persons) 3/,2899360,2906721,2907289
20000,Kansas,4,SA4,30,...,Per capita personal income (dollars) 4/,46568,46994,47228
20000,Kansas,4,SA4,35,...,  Earnings by place of work,97739362,98794455,98537303
20000,Kansas,4,SA4,36,...,  Less: Contributions for government social insurance 5/,10598579,11044023,10930544
20000,Kansas,4,SA4,37,...,    Employee and self-employed contributions for government social insurance,5597049,5755769,5849411
20000,Kansas,4,SA4,38,...,    Employer contributions for government social insurance,5001530,5288254,5081133
20000,Kansas,4,SA4,42,...,  Plus: Adjustment for residence 6/,1387011,1406314,1478989
20000,Kansas,4,SA4,45,...,  Equals: Net earnings by place of residence,88527794,89156746,89085748
20000,Kansas,4,SA4,46,...,"  Plus: Dividends, interest, and rent 7/",26148227,26174774,26299264
20000,Kansas,4,SA4,47,...,  Plus: Personal current transfer receipts,20341689,21266488,21920425
20000,Kansas,4,SA4,50,...,  Wages and salaries,64442235,66672484,67216593
20000,Kansas,4,SA4,60,...,  Supplements to wages and salaries,15691585,16147621,16247753
20000,Kansas,4,SA4,61,...,    Employer contributions for employee pension and insurance funds 8/,10690055,10859367,11166620
20000,Kansas,4,SA4,62,...,    Employer contributions for government social insurance,5001530,5288254,5081133
20000,Kansas,4,SA4,70,...,  Proprietors' income 9/,17605542,15974350,15072957
20000,Kansas,4,SA4,71,...,    Farm proprietors' income,2853455,2008627,2021374
20000,Kansas,4,SA4,72,...,    Nonfarm proprietors' income,14752087,13965723,13051583
20000,Kansas,4,SA4,7010,...,Total employment,1896838,1911712,1918877
20000,Kansas,4,SA4,7020,...,  Wage and salary employment,1471984,1482065,1482415
20000,Kansas,4,SA4,7040,...,  Proprietors employment,424854,429647,436462
21000,Kentucky,5,SA4,10,...,Personal income (thousands of dollars),163278651,170266901,172713808
21000,Kentucky,5,SA4,11,...,  Nonfarm personal income 1/,162150614,169491323,172624687
21000,Kentucky,5,SA4,12,...,  Farm income 2/,1128037,775578,89121
21000,Kentucky,5,SA4,20,...,Population (persons) 3/,4413057,4424611,4436974
21000,Kentucky,5,SA4,30,...,Per capita personal income (dollars) 4/,36999,38482,38926
21000,Kentucky,5,SA4,35,...,  Earnings by place of work,113309587,117468375,119705491
21000,Kentucky,5,SA4,36,...,  Less: Contributions for government social insurance 5/,13474206,14035108,14447108
21000,Kentucky,5,SA4,37,...,    Employee and self-employed contributions for government social insurance,7031750,7294815,7579392
21000,Kentucky,5,SA4,38,...,    Employer contributions for government social insurance,6442456,6740293,6867716
21000,Kentucky,5,SA4,42,...,  Plus: Adjustment for residence 6/,-1840066,-1879778,-1729026
21000,Kentucky,5,SA4,45,...,  Equals: Net earnings by place of residence,97995315,101553489,103529357
21000,Kentucky,5,SA4,46,...,"  Plus: Dividends, interest, and rent 7/",25290651,26584793,26868587
21000,Kentucky,5,SA4,47,...,  Plus: Personal current transfer receipts,39992685,42128619,42315864
21000,Kentucky,5,SA4,50,...,  Wages and salaries,81489006,85374708,87793976
21000,Kentucky,5,SA4,60,...,  Supplements to wages and salaries,21026537,21766954,22120290
21000,Kentucky,5,SA4,61,...,    Employer contributions for employee pension and insurance funds 8/,14584081,15026661,15252574
21000,Kentucky,5,SA4,62,...,    Employer contributions for government social insurance,6442456,6740293,6867716
21000,Kentucky,5,SA4,70,...,  Proprietors' income 9/,10794044,10326713,9791225
21000,Kentucky,5,SA4,71,...,    Farm proprietors' income,764770,459709,-273311
21000,Kentucky,5,SA4,72,...,    Nonfarm proprietors' income,10029274,9867004,10064536
21000,Kentucky,5,SA4,7010,...,Total employment,2440991,2473365,2501444
21000,Kentucky,5,SA4,7020,...,  Wage and salary employment,1949996,1978585,1997289
21000,Kentucky,5,SA4,7040,...,  Proprietors employment,490995,494780,504155
22000,Louisiana,5,SA4,10,...,Personal income (thousands of dollars),195268026,200091950,198025102
22000,Louisiana,5,SA4,11,...,  Nonfarm personal income 1/,194315653,199567375,197602736
22000,Louisiana,5,SA4,12,...,  Farm income 2/,952373,524575,422366
22000,Louisiana,5,SA4,20,...,Population (persons) 3/,4647880,4668960,4681666
22000,Louisiana,5,SA4,30,...,Per capita personal income (dollars) 4/,42012,42856,42298
22000,Louisiana,5,SA4,35,...,  Earnings by place of work,139169333,140190880,135972185
22000,Louisiana,5,SA4,36,...,  Less: Contributions for government social insurance 5/,13587792,13868339,13740810
22000,Louisiana,5,SA4,37,...,    Employee and self-employed contributions for government social insurance,7413372,7552831,7494705
22000,Louisiana,5,SA4,38,...,    Employer contributions for government social insurance,6174420,6315508,6246105
22000,Louisiana,5,SA4,42,...,  Plus: Adjustment for residence 6/,-444516,-513988,-678527
22000,Louisiana,5,SA4,45,...,  Equals: Net earnings by place of residence,125137025,125808553,121552848
22000,Louisiana,5,SA4,46,...,"  Plus: Dividends, interest, and rent 7/",33043088,33268344,33414044
22000,Louisiana,5,SA4,47,...,  Plus: Personal current transfer receipts,37087913,41015053,43058210
22000,Louisiana,5,SA4,50,...,  Wages and salaries,95485718,97169964,95620922
22000,Louisiana,5,SA4,60,...,  Supplements to wages and salaries,22531962,23377273,23422482
22000,Louisiana,5,SA4,61,...,    Employer contributions for employee pension and insurance funds 8/,16357542,17061765,17176377
22000,Louisiana,5,SA4,62,...,    Employer contributions for government social insurance,6174420,6315508,6246105
22000,Louisiana,5,SA4,70,...,  Proprietors' income 9/,21151653,19643643,16928781
22000,Louisiana,5,SA4,71,...,    Farm proprietors' income,805023,305956,238256
22000,Louisiana,5,SA4,72,...,    Nonfarm proprietors' income,20346630,19337687,16690525
22000,Louisiana,5,SA4,7010,...,Total employment,2685362,2696538,2683472
22000,Louisiana,5,SA4,7020,...,  Wage and salary employment,2068196,2076737,2050046
22000,Louisiana,5,SA4,7040,...,  Proprietors employment,617166,619801,633426
23000,Maine,1,SA4,10,...,Personal income (thousands of dollars),54763126,56928613,58655433
23000,Maine,1,SA4,11,...,  Nonfarm personal income 1/,54623862,56817874,58539230
23000,Maine,1,SA4,12,...,  Farm income 2/,139264,110739,116203
23000,Maine,1,SA4,20,...,Population (persons) 3/,1330719,1329453,1331479
23000,Maine,1,SA4,30,...,Per capita personal income (dollars) 4/,41153,42821,44053
23000,Maine,1,SA4,35,...,  Earnings by place of work,36119993,37581116,38971048
23000,Maine,1,SA4,36,...,  Less: Contributions for government social insurance 5/,4273424,4496783,4624778
23000,Maine,1,SA4,37,...,    Employee and self-employed contributions for government social insurance,2354044,2472537,2583477
23000,Maine,1,SA4,38,...,    Employer contributions for government social insurance,1919380,2024246,2041301
23000,Maine,1,SA4,42,...,  Plus: Adjustment for residence 6/,853266,905859,915124
23000,Maine,1,SA4,45,...,  Equals: Net earnings by place of residence,32699835,33990192,35261394
23000,Maine,1,SA4,46,...,"  Plus: Dividends, interest, and rent 7/",9727206,10101412,10264391
23000,Maine,1,SA4,47,...,  Plus: Personal current transfer receipts,12336085,12837009,13129648
23000,Maine,1,SA4,50,...,  Wages and salaries,25790583,26841674,27704924
23000,Maine,1,SA4,60,...,  Supplements to wages and salaries,6436922,6708346,6938768
23000,Maine,1,SA4,61,...,    Employer contributions for employee pension and insurance funds 8/,4517542,4684100,4897467
23000,Maine,1,SA4,62,...,    Employer contributions for government social insurance,1919380,2024246,2041301
23000,Maine,1,SA4,70,...,  Proprietors' income 9/,3892488,4031096,4327356
23000,Maine,1,SA4,71,...,    Farm proprietors' income,4674,-1050,-13595
23000,Maine,1,SA4,72,...,    Nonfarm proprietors' income,3887814,4032146,4340951
23000,Maine,1,SA4,7010,...,Total employment,811622,817356,827579
23000,Maine,1,SA4,7020,...,  Wage and salary employment,619810,625249,631914
23000,Maine,1,SA4,7040,...,  Proprietors employment,191812,192107,195665
24000,Maryland,2,SA4,10,...,Personal income (thousands of dollars),322608872,337212412,349266576
24000,Maryland,2,SA4,11,...,  Nonfarm personal income 1/,322073497,336872308,349000290
24000,Maryland,2,SA4,12,...,  Farm income 2/,535375,340104,266286
24000,Maryland,2,SA4,20,...,Population (persons) 3/,5967295,5994983,6016447
24000,Maryland,2,SA4,30,...,Per capita personal income (dollars) 4/,54063,56249,58052
24000,Maryland,2,SA4,35,...,  Earnings by place of work,217449869,227813171,237419282
24000,Maryland,2,SA4,36,...,  Less: Contributions for government social insurance 5/,24172419,25424719,26230210
24000,Maryland,2,SA4,37,...,    Employee and self-employed contributions for government social insurance,12550903,13178031,13750779
24000,Maryland,2,SA4,38,...,    Employer contributions for government social insurance,11621516,12246688,12479431
24000,Maryland,2,SA4,42,...,  Plus: Adjustment for residence 6/,22538918,23241169,22943046
24000,Maryland,2,SA4,45,...,  Equals: Net earnings by place of residence,215816368,225629621,234132118
24000,Maryland,2,SA4,46,...,"  Plus: Dividends, interest, and rent 7/",61733378,64719029,65925985
24000,Maryland,2,SA4,47,...,  Plus: Personal current transfer receipts,45059126,46863762,49208473
24000,Maryland,2,SA4,50,...,  Wages and salaries,155212261,162388550,167235251
24000,Maryland,2,SA4,60,...,  Supplements to wages and salaries,38930484,40157373,41417811
24000,Maryland,2,SA4,61,...,    Employer contributions for employee pension and insurance funds 8/,27308968,27910685,28938380
24000,Maryland,2,SA4,62,...,    Employer contributions for government social insurance,11621516,12246688,12479431
24000,Maryland,2,SA4,70,...,  Proprietors' income 9/,23307124,25267248,28766220
24000,Maryland,2,SA4,71,...,    Farm proprietors' income,354765,190260,90146
24000,Maryland,2,SA4,72,...,    Nonfarm proprietors' income,22952359,25076988,28676074
24000,Maryland,2,SA4,7010,...,Total employment,3539352,3605124,3662827
24000,Maryland,2,SA4,7020,...,  Wage and salary employment,2729028,2769217,2805670
24000,Maryland,2,SA4,7040,...,  Proprietors employment,810324,835907,857157
25000,Massachusetts,1,SA4,10,...,Personal income (thousands of dollars),400244845,426359872,437551353
25000,Massachusetts,1,SA4,11,...,  Nonfarm personal income 1/,400115518,426238292,437431770
25000,Massachusetts,1,SA4,12,...,  Farm income 2/,129327,121580,119583
25000,Massachusetts,1,SA4,20,...,Population (persons) 3/,6749911,6784240,6811779
25000,Massachusetts,1,SA4,30,...,Per capita personal income (dollars) 4/,59296,62846,64235
25000,Massachusetts,1,SA4,35,...,  Earnings by place of work,299917102,318526580,328164366
25000,Massachusetts,1,SA4,36,...,  Less: Contributions for government social insurance 5/,31556581,32841893,34044511
25000,Massachusetts,1,SA4,37,...,    Employee and self-employed contributions for government social insurance,16320302,17285967,17977291
25000,Massachusetts,1,SA4,38,...,    Employer contributions for government social insurance,15236279,15555926,16067220
25000,Massachusetts,1,SA4,42,...,  Plus: Adjustment for residence 6/,-6220890,-7104543,-7300965
25000,Massachusetts,1,SA4,45,...,  Equals: Net earnings by place of residence,262139631,278580144,286818890
25000,Massachusetts,1,SA4,46,...,"  Plus: Dividends, interest, and rent 7/",78875692,84579869,85341194
25000,Massachusetts,1,SA4,47,...,  Plus: Personal current transfer receipts,59229522,63199859,65391269
25000,Massachusetts,1,SA4,50,...,  Wages and salaries,221837152,235419759,242384464
25000,Massachusetts,1,SA4,60,...,  Supplements to wages and salaries,48209300,51518947,52225832
25000,Massachusetts,1,SA4,61,...,    Employer contributions for employee pension and insurance funds 8/,32973021,35963021,36158612
25000,Massachusetts,1,SA4,62,...,    Employer contributions for government social insurance,15236279,15555926,16067220
25000,Massachusetts,1,SA4,70,...,  Proprietors' income 9/,29870650,31587874,33554070
25000,Massachusetts,1,SA4,71,...,    Farm proprietors' income,-34188,-14483,-38290
25000,Massachusetts,1,SA4,72,...,    Nonfarm proprietors' income,29904838,31602357,33592360
25000,Massachusetts,1,SA4,7010,...,Total employment,4451098,4634225,4720200
25000,Massachusetts,1,SA4,7020,...,  Wage and salary employment,3543967,3612867,3674116
25000,Massachusetts,1,SA4,7040,...,  Proprietors employment,907131,1021358,1046084
26000,Michigan,3,SA4,10,...,Personal income (thousands of dollars),404864143,427199321,439361467
26000,Michigan,3,SA4,11,...,  Nonfarm personal income 1/,403311136,425743894,438373942
26000,Michigan,3,SA4,12,...,  Farm income 2/,1553007,1455427,987525
26000,Michigan,3,SA4,20,...,Population (persons) 3/,9915767,9917715,9928300
26000,Michigan,3,SA4,30,...,Per capita personal income (dollars) 4/,40830,43074,44253
26000,Michigan,3,SA4,35,...,  Earnings by place of work,278430785,293009255,303542921
26000,Michigan,3,SA4,36,...,  Less: Contributions for government social insurance 5/,33313857,34761224,35826826
26000,Michigan,3,SA4,37,...,    Employee and self-employed contributions for government social insurance,17631565,18473171,19203838
26000,Michigan,3,SA4,38,...,    Employer contributions for government social insurance,15682292,16288053,16622988
26000,Michigan,3,SA4,42,...,  Plus: Adjustment for residence 6/,2081098,2075543,2232477
26000,Michigan,3,SA4,45,...,  Equals: Net earnings by place of residence,247198026,260323574,269948572
26000,Michigan,3,SA4,46,...,"  Plus: Dividends, interest, and rent 7/",71052902,75354090,75892783
26000,Michigan,3,SA4,47,...,  Plus: Personal current transfer receipts,86613215,91521657,93520112
26000,Michigan,3,SA4,50,...,  Wages and salaries,204357402,214758816,222822763
26000,Michigan,3,SA4,60,...,  Supplements to wages and salaries,47071883,50591205,53292830
26000,Michigan,3,SA4,61,...,    Employer contributions for employee pension and insurance funds 8/,31389591,34303152,36669842
26000,Michigan,3,SA4,62,...,    Employer contributions for government social insurance,15682292,16288053,16622988
26000,Michigan,3,SA4,70,...,  Proprietors' income 9/,27001500,27659234,27427328
26000,Michigan,3,SA4,71,...,    Farm proprietors' income,661085,554745,-54383
26000,Michigan,3,SA4,72,...,    Nonfarm proprietors' income,26340415,27104489,27481711
26000,Michigan,3,SA4,7010,...,Total employment,5415970,5505114,5611718
26000,Michigan,3,SA4,7020,...,  Wage and salary employment,4257392,4329830,4407823
26000,Michigan,3,SA4,7040,...,  Proprietors employment,1158578,1175284,1203895
27000,Minnesota,4,SA4,10,...,Personal income (thousands of dollars),268529945,280406484,287249809
27000,Minnesota,4,SA4,11,...,  Nonfarm personal income 1/,264605870,277000116,285152601
27000,Minnesota,4,SA4,12,...,  Farm income 2/,3924075,3406368,2097208
27000,Minnesota,4,SA4,20,...,Population (persons) 3/,5453109,5482435,5519952
27000,Minnesota,4,SA4,30,...,Per capita personal income (dollars) 4/,49243,51146,52038
27000,Minnesota,4,SA4,35,...,  Earnings by place of work,200164076,208622037,214613201
27000,Minnesota,4,SA4,36,...,  Less: Contributions for government social insurance 5/,23129582,24077169,24811676
27000,Minnesota,4,SA4,37,...,    Employee and self-employed contributions for government social insurance,12021345,12629566,13106660
27000,Minnesota,4,SA4,38,...,    Employer contributions for government social insurance,11108237,11447603,11705016
27000,Minnesota,4,SA4,42,...,  Plus: Adjustment for residence 6/,-1259584,-1309880,-1439982
27000,Minnesota,4,SA4,45,...,  Equals: Net earnings by place of residence,175774910,183234988,188361543
27000,Minnesota,4,SA4,46,...,"  Plus: Dividends, interest, and rent 7/",49785772,52851582,53308964
27000,Minnesota,4,SA4,47,...,  Plus: Personal current transfer receipts,42969263,44319914,45579302
27000,Minnesota,4,SA4,50,...,  Wages and salaries,145929624,153917745,158270674
27000,Minnesota,4,SA4,60,...,  Supplements to wages and salaries,32545531,32974258,35441106
27000,Minnesota,4,SA4,61,...,    Employer contributions for employee pension and insurance funds 8/,21437294,21526655,23736090
27000,Minnesota,4,SA4,62,...,    Employer contributions for government social insurance,11108237,11447603,11705016
27000,Minnesota,4,SA4,70,...,  Proprietors' income 9/,21688921,21730034,20901421
27000,Minnesota,4,SA4,71,...,    Farm proprietors' income,3359315,2773116,1390253
27000,Minnesota,4,SA4,72,...,    Nonfarm proprietors' income,18329606,18956918,19511168
27000,Minnesota,4,SA4,7010,...,Total employment,3608037,3667571,3719410
27000,Minnesota,4,SA4,7020,...,  Wage and salary employment,2875955,2925540,2961350
27000,Minnesota,4,SA4,7040,...,  Proprietors employment,732082,742031,758060
28000,Mississippi,5,SA4,10,...,Personal income (thousands of dollars),102378364,103901356,106052785
28000,Mississippi,5,SA4,11,...,  Nonfarm personal income 1/,100404533,102813664,105066414
28000,Mississippi,5,SA4,12,...,  Farm income 2/,1973831,1087692,986371
28000,Mississippi,5,SA4,20,...,Population (persons) 3/,2992400,2989390,2988726
28000,Mississippi,5,SA4,30,...,Per capita personal income (dollars) 4/,34213,34757,35484
28000,Mississippi,5,SA4,35,...,  Earnings by place of work,65698397,65620428,66702082
28000,Mississippi,5,SA4,36,...,  Less: Contributions for government social insurance 5/,7749323,7949815,8118322
28000,Mississippi,5,SA4,37,...,    Employee and self-employed contributions for government social insurance,4309421,4420232,4555683
28000,Mississippi,5,SA4,38,...,    Employer contributions for government social insurance,3439902,3529583,3562639
28000,Mississippi,5,SA4,42,...,  Plus: Adjustment for residence 6/,2784053,2958660,3022412
28000,Mississippi,5,SA4,45,...,  Equals: Net earnings by place of residence,60733127,60629273,61606172
28000,Mississippi,5,SA4,46,...,"  Plus: Dividends, interest, and rent 7/",15281262,15866407,16098286
28000,Mississippi,5,SA4,47,...,  Plus: Personal current transfer receipts,26363975,27405676,28348327
28000,Mississippi,5,SA4,50,...,  Wages and salaries,45400894,46377045,47323141
28000,Mississippi,5,SA4,60,...,  Supplements to wages and salaries,11094923,11073775,11490932
28000,Mississippi,5,SA4,61,...,    Employer contributions for employee pension and insurance funds 8/,7655021,7544192,7928293
28000,Mississippi,5,SA4,62,...,    Employer contributions for government social insurance,3439902,3529583,3562639
28000,Mississippi,5,SA4,70,...,  Proprietors' income 9/,9202580,8169608,7888009
28000,Mississippi,5,SA4,71,...,    Farm proprietors' income,1690753,858679,794149
28000,Mississippi,5,SA4,72,...,    Nonfarm proprietors' income,7511827,7310929,7093860
28000,Mississippi,5,SA4,7010,...,Total employment,1557993,1569724,1584421
28000,Mississippi,5,SA4,7020,...,  Wage and salary employment,1195069,1203021,1211218
28000,Mississippi,5,SA4,7040,...,  Proprietors employment,362924,366703,373203
29000,Missouri,4,SA4,10,...,Personal income (thousands of dollars),249234791,257514867,261547770
29000,Missouri,4,SA4,11,...,  Nonfarm personal income 1/,246129945,256844861,260735029
29000,Missouri,4,SA4,12,...,  Farm income 2/,3104846,670006,812741
29000,Missouri,4,SA4,20,...,Population (persons) 3/,6060930,6076204,6093000
29000,Missouri,4,SA4,30,...,Per capita personal income (dollars) 4/,41122,42381,42926
29000,Missouri,4,SA4,35,...,  Earnings by place of work,179944273,185058736,187981518
29000,Missouri,4,SA4,36,...,  Less: Contributions for government social insurance 5/,20066086,21104996,21610846
29000,Missouri,4,SA4,37,...,    Employee and self-employed contributions for government social insurance,10719937,11229166,11580554
29000,Missouri,4,SA4,38,...,    Employer contributions for government social insurance,9346149,9875830,10030292
29000,Missouri,4,SA4,42,...,  Plus: Adjustment for residence 6/,-4971686,-5214817,-5307276
29000,Missouri,4,SA4,45,...,  Equals: Net earnings by place of residence,154906501,158738923,161063396
29000,Missouri,4,SA4,46,...,"  Plus: Dividends, interest, and rent 7/",45047657,47055709,47380474
29000,Missouri,4,SA4,47,...,  Plus: Personal current transfer receipts,49280633,51720235,53103900
29000,Missouri,4,SA4,50,...,  Wages and salaries,128628249,134626856,138201062
29000,Missouri,4,SA4,60,...,  Supplements to wages and salaries,30758133,32575056,31536704
29000,Missouri,4,SA4,61,...,    Employer contributions for employee pension and insurance funds 8/,21411984,22699226,21506412
29000,Missouri,4,SA4,62,...,    Employer contributions for government social insurance,9346149,9875830,10030292
29000,Missouri,4,SA4,70,...,  Proprietors' income 9/,20557891,17856824,18243752
29000,Missouri,4,SA4,71,...,    Farm proprietors' income,2734699,348269,454541
29000,Missouri,4,SA4,72,...,    Nonfarm proprietors' income,17823192,17508555,17789211
29000,Missouri,4,SA4,7010,...,Total employment,3600183,3659098,3713460
29000,Missouri,4,SA4,7020,...,  Wage and salary employment,2837632,2889597,2928414
29000,Missouri,4,SA4,7040,...,  Proprietors employment,762551,769501,785046
30000,Montana,7,SA4,10,...,Personal income (thousands of dollars),41676292,43844378,44772870
30000,Montana,7,SA4,11,...,  Nonfarm personal income 1/,40975579,43026484,44357662
30000,Montana,7,SA4,12,...,  Farm income 2/,700713,817894,415208
30000,Montana,7,SA4,20,...,Population (persons) 3/,1022867,1032073,1042520
30000,Montana,7,SA4,30,...,Per capita personal income (dollars) 4/,40745,42482,42947
30000,Montana,7,SA4,35,...,  Earnings by place of work,27579720,28862783,29223605
30000,Montana,7,SA4,36,...,  Less: Contributions for government social insurance 5/,3491849,3613953,3697941
30000,Montana,7,SA4,37,...,    Employee and self-employed contributions for government social insurance,1774496,1862831,1938598
30000,Montana,7,SA4,38,...,    Employer contributions for government social insurance,1717353,1751122,1759343
30000,Montana,7,SA4,42,...,  Plus: Adjustment for residence 6/,191986,158316,114517
30000,Montana,7,SA4,45,...,  Equals: Net earnings by place of residence,24279857,25407146,25640181
30000,Montana,7,SA4,46,...,"  Plus: Dividends, interest, and rent 7/",9687153,10352730,10470687
30000,Montana,7,SA4,47,...,  Plus: Personal current transfer receipts,7709282,8084502,8662002
30000,Montana,7,SA4,50,...,  Wages and salaries,18385278,19258155,19853667
30000,Montana,7,SA4,60,...,  Supplements to wages and salaries,4737564,4814579,4846329
30000,Montana,7,SA4,61,...,    Employer contributions for employee pension and insurance funds 8/,3020211,3063457,3086986
30000,Montana,7,SA4,62,...,    Employer contributions for government social insurance,1717353,1751122,1759343
30000,Montana,7,SA4,70,...,  Proprietors' income 9/,4456878,4790049,4523609
